avg_dollar_vol,avg_volume_30d,catalyst,close,date,flagged,ma_100,ma_200,ma_50,open,reason,ticker,volume
14595929.144293468,2172013.3333333335,none,6.360000133514404,2026-05-18,True,7.6731500148773195,7.498650000095368,6.51880000114441,6.389999866485596,Gap Up Normal Volume (short candidate),PSNL,2365200
30615520.830955505,2824310.0,none,10.319999694824219,2026-05-18,True,20.98239998817444,23.9892999792099,14.292000026702881,10.380000114440918,Gap Up Normal Volume (short candidate),QDEL,2312100
185965460.8424886,572606.6666666666,none,321.20001220703125,2026-05-18,True,346.4446206665039,386.22769760131837,337.511484375,321.3699951171875,Gap Up Normal Volume (short candidate),RACE,498200
48163809.338633224,889123.3333333334,none,52.38999938964844,2026-05-18,True,64.67984992980956,69.41667499542237,57.96100006103516,52.40999984741211,Gap Up Normal Volume (short candidate),RDNT,467000
34903174.67407863,3689553.3333333335,none,9.0600004196167,2026-05-18,True,12.266549997329712,11.590474984645844,10.376399974822998,9.199999809265137,Gap Up Normal Volume (short candidate),REAL,3156900
51952317.9178683,5690286.666666667,none,9.130000114440918,2026-05-18,True,10.08124258995056,10.480847268104553,9.550201206207275,9.170000076293945,Gap Up Normal Volume (short candidate),RITM,5576500
152263967.76845294,2788206.6666666665,none,53.41999816894531,2026-05-18,True,57.67214683532715,57.574546871185305,54.32891357421875,53.599998474121094,Gap Up Normal Volume (short candidate),ROL,3013200
93271345.5342865,960570.0,none,95.23999786376953,2026-05-18,True,105.69419418334961,109.40140865325928,101.27140701293945,95.61000061035156,Gap Up Normal Volume (short candidate),RPM,1024900
970032860.6753032,5513116.666666667,none,171.17999267578125,2026-05-18,True,193.25852249145507,179.208291015625,190.05659942626954,171.67999267578125,Gap Up Normal Volume (short candidate),RTX,5627400
23567784.974568687,1277386.6666666667,none,18.610000610351562,2026-05-18,True,25.603300037384034,24.257249994277956,23.297400131225587,18.700000762939453,Gap Up Normal Volume (short candidate),RVLV,1193700
4213360.0,702226.6666666666,none,5.679999828338623,2026-05-18,True,7.953300013542175,8.689250009059906,6.813800029754638,5.710000038146973,Gap Up Normal Volume (short candidate),RXST,735700
90315954.15506998,2682386.6666666665,none,31.809999465942383,2026-05-18,True,40.094153213500974,47.59543453216553,34.058130722045895,32.20000076293945,Gap Up Normal Volume (short candidate),RYAN,2755400
45648781.21059418,2299686.6666666665,none,19.81999969482422,2026-05-18,True,21.481205348968505,22.13355619430542,20.666282348632812,19.940000534057617,Gap Up Normal Volume (short candidate),RYN,2090400
105341120.66329956,4092506.6666666665,none,25.25,2026-05-18,True,28.47810001373291,27.79454999923706,26.117200088500976,25.350000381469727,Gap Up Normal Volume (short candidate),SARO,2460100
55741812.95923869,4672406.666666667,none,12.119999885559082,2026-05-18,True,14.33889835357666,12.3031614112854,12.59747085571289,12.279999732971191,Gap Up Normal Volume (short candidate),SBSW,5052400
1039599066.2321472,11252290.0,none,90.87999725341797,2026-05-18,True,95.92842155456543,94.86550426483154,92.5457681274414,91.0,Gap Up Normal Volume (short candidate),SCHW,8266100
99152205.17328899,1258276.6666666667,none,77.73999786376953,2026-05-18,True,80.72767189025879,80.0621545791626,80.83807662963868,78.02999877929688,Gap Up Normal Volume (short candidate),SCI,837000
193304095.0,3105286.6666666665,none,62.68000030517578,2026-05-18,True,82.97590229034424,83.80095178604125,75.09960014343261,63.099998474121094,Gap Up Normal Volume (short candidate),SGI,2348300
28815690.056775413,768623.3333333334,none,36.630001068115234,2026-05-18,True,42.26300342559814,42.127564067840574,40.02494323730469,36.79999923706055,Gap Up Normal Volume (short candidate),SLGN,893700
69454159.21257019,3178680.0,none,21.170000076293945,2026-05-18,True,23.347077541351318,25.820190839767456,21.595400047302245,21.239999771118164,Gap Up Normal Volume (short candidate),SLM,2319800
18656815.514240265,623556.6666666666,none,29.639999389648438,2026-05-18,True,31.620345668792723,32.83419841766357,31.380851211547853,29.670000076293945,Gap Up Normal Volume (short candidate),SMA,540700
42786643.35826874,3625986.6666666665,none,11.550000190734863,2026-05-18,True,15.854449977874756,19.87242497444153,13.229699993133545,11.710000038146973,Gap Up Normal Volume (short candidate),SMPL,2049800
773377254.7851562,1852800.0,none,403.1499938964844,2026-05-18,True,455.6536590576172,482.4895379638672,426.63780090332034,404.0,Gap Up Normal Volume (short candidate),SPGI,1741000
12763101.333475113,1748370.0,none,7.425000190734863,2026-05-18,True,9.258200035095214,10.051824984550477,8.262800064086914,7.449999809265137,Gap Up Normal Volume (short candidate),SPRY,2142800
62130677.85805702,4735570.0,none,12.489999771118164,2026-05-18,True,17.562299995422364,22.08150002479553,15.88240005493164,12.5,Gap Up Normal Volume (short candidate),SRAD,3039600
82036515.43070476,883633.3333333334,none,92.22000122070312,2026-05-18,True,96.64734886169434,95.06543472290039,94.08908065795899,92.8499984741211,Gap Up Normal Volume (short candidate),SSB,452400
175941855.2617391,2617403.3333333335,none,64.58000183105469,2026-05-18,True,74.81582191467285,80.21303730010986,69.37300018310548,64.91000366210938,Gap Up Normal Volume (short candidate),SSNC,2657000
158705934.42626953,745553.3333333334,none,212.11000061035156,2026-05-18,True,236.22399642944336,241.78642387390136,218.6680010986328,212.19000244140625,Gap Up Normal Volume (short candidate),STE,833700
92757900.39741516,763376.6666666666,none,120.41000366210938,2026-05-18,True,127.44269485473633,125.50938674926758,128.18963500976562,120.95999908447266,Gap Up Normal Volume (short candidate),SUI,596600
353036897.213618,4801916.666666667,none,72.56999969482422,2026-05-18,True,78.79515419006347,77.80723812103271,76.31977920532226,72.80999755859375,Gap Up Normal Volume (short candidate),SYY,3707200
894856660.3450774,36629416.666666664,none,24.030000686645508,2026-05-18,True,26.138343048095702,26.10897539138794,26.63418502807617,24.09000015258789,Gap Up Normal Volume (short candidate),T,38981000
40675112.20240275,647486.6666666666,none,62.47999954223633,2026-05-18,True,69.25685020446777,67.3003500366211,66.54630012512207,63.310001373291016,Gap Up Normal Volume (short candidate),TARS,546900
3684034.6039279304,657863.3333333334,none,5.489999771118164,2026-05-18,True,6.896454014778137,8.276883761882782,6.599184665679932,5.5,Gap Up Normal Volume (short candidate),TASK,533500
33980000.03117879,820376.6666666666,none,40.5,2026-05-18,True,43.95930839538574,41.304179172515866,44.01154006958008,40.849998474121094,Gap Up Normal Volume (short candidate),TDS,929200
272056479.3382009,6236966.666666667,none,43.93000030517578,2026-05-18,True,54.97044975280762,66.50249980926513,49.59329971313477,44.099998474121094,Gap Up Normal Volume (short candidate),TEM,5968000
49103085.00915527,665263.3333333334,none,74.08000183105469,2026-05-18,True,93.58053726196289,98.19661994934081,78.54525863647461,74.12000274658203,Gap Up Normal Volume (short candidate),THO,510400
272048630.0671387,1401806.6666666667,none,190.07000732421875,2026-05-18,True,199.79967041015624,194.479786529541,192.22362091064454,190.5500030517578,Gap Up Normal Volume (short candidate),TKO,1174000
14779790.806248982,853336.6666666666,none,16.56999969482422,2026-05-18,True,19.51700002670288,19.707899932861327,17.867200012207032,17.200000762939453,Gap Up Normal Volume (short candidate),TLK,696100
103151479.27246094,1509386.6666666667,none,63.20000076293945,2026-05-18,True,118.79660083770752,120.58455076217652,102.55770057678222,63.83000183105469,Gap Up Normal Volume (short candidate),TMDX,1943200
78316371.01071677,1400006.6666666667,none,54.790000915527344,2026-05-18,True,61.364899978637695,62.60915004730224,59.426999969482424,55.279998779296875,Gap Up Normal Volume (short candidate),TMHC,1256300
982314060.0,2222430.0,none,438.3399963378906,2026-05-18,True,525.2382235717773,526.2132748413086,483.00805419921875,438.44000244140625,Gap Up Normal Volume (short candidate),TMO,1908500
1152047708.6180625,6042736.666666667,none,185.22000122070312,2026-05-18,True,200.91899917602538,212.78777687072753,200.12259979248046,186.0500030517578,Gap Up Normal Volume (short candidate),TMUS,5029900
