avg_volume_30d,close,date,flagged,open,reason,ticker,volume
2067816.6666666667,24.43000030517578,2026-04-24,True,23.8799991607666,Runaway Gap,GNTX,5054500
1049656.6666666667,6.900000095367432,2026-04-24,True,7.829999923706055,Runaway Gap,GSIT,1513000
572110.0,119.98999786376953,2026-04-24,True,122.44999694824219,Runaway Gap,HRI,752900
358560.0,10.09000015258789,2026-04-24,True,11.25,Runaway Gap,HTCO,715400
696703.3333333334,3.990000009536743,2026-04-24,True,5.420000076293945,Runaway Gap,IHRT,1438700
110541583.33333333,82.19999694824219,2026-04-24,True,82.54000091552734,Runaway Gap,INTC,280509900
1812460.0,6.960000038146973,2026-04-24,True,6.539999961853027,Runaway Gap,INV,3227400
2653453.3333333335,38.209999084472656,2026-04-24,True,38.959999084472656,Runaway Gap,IRDM,3459500
2052676.6666666667,8.25,2026-04-24,True,8.359999656677246,Runaway Gap,IVR,4142100
583806.6666666666,89.56999969482422,2026-04-24,True,87.70999908447266,Runaway Gap,KLIC,881200
1789310.0,6.949999809265137,2026-04-24,True,7.050000190734863,Runaway Gap,LFST,2693200
1634753.3333333333,125.43000030517578,2026-04-24,True,122.80000305175781,Runaway Gap,LSCC,3329100
7239486.666666667,8.859999656677246,2026-04-24,True,9.229999542236328,Runaway Gap,MBLY,13980300
2551826.6666666665,7.010000228881836,2026-04-24,True,7.070000171661377,Runaway Gap,MCW,3373800
26245113.333333332,169.8699951171875,2026-04-24,True,164.30999755859375,Runaway Gap,MRVL,37528300
1292276.6666666667,28.030000686645508,2026-04-24,True,28.170000076293945,Runaway Gap,MWA,3198800
749650.0,4.449999809265137,2026-04-24,True,5.25,Runaway Gap,MX,7342800
2861683.3333333335,54.0,2026-04-24,True,60.31999969482422,Runaway Gap,MXL,28960000
3300800.0,17.030000686645508,2026-04-24,True,17.68000030517578,Runaway Gap,NCNO,6722900
3054670.0,87.30000305175781,2026-04-24,True,89.9000015258789,Runaway Gap,NDAQ,4172400
4972930.0,20.3700008392334,2026-04-24,True,20.5,Runaway Gap,NOV,6670400
22908280.0,85.77999877929688,2026-04-24,True,90.16999816894531,Runaway Gap,NOW,38938500
160994790.0,199.9600067138672,2026-04-24,True,208.27000427246094,Runaway Gap,NVDA,213780100
16690066.666666666,40.060001373291016,2026-04-24,True,41.16999816894531,Runaway Gap,NVO,24877300
694976.6666666666,19.06999969482422,2026-04-24,True,19.079999923706055,Runaway Gap,OCFC,1442000
7288640.0,10.744999885559082,2026-04-24,True,11.260000228881836,Runaway Gap,OGN,31853600
1163726.6666666667,13.520000457763672,2026-04-24,True,13.529999732971191,Runaway Gap,OMER,1518200
858406.6666666666,5.309999942779541,2026-04-24,True,5.820000171661377,Runaway Gap,ONEG,1561200
810143.3333333334,303.989990234375,2026-04-24,True,307.8599853515625,Runaway Gap,ONTO,1127900
1876920.0,27.469999313354492,2026-04-24,True,28.219999313354492,Runaway Gap,OUST,2940300
2931053.3333333335,6.190000057220459,2026-04-24,True,7.130000114440918,Runaway Gap,PD,5916800
876593.3333333334,38.61000061035156,2026-04-24,True,39.459999084472656,Runaway Gap,PECO,1530200
1399420.0,28.639999389648438,2026-04-24,True,30.690000534057617,Runaway Gap,PENG,2503900
4044620.0,17.229999542236328,2026-04-24,True,17.239999771118164,Runaway Gap,PENN,7882200
1586666.6666666667,100.58999633789062,2026-04-24,True,99.33999633789062,Runaway Gap,PFG,2389000
10502400.0,152.00999450683594,2026-04-24,True,148.17999267578125,Runaway Gap,PG,13784200
1126313.3333333333,12.1899995803833,2026-04-24,True,11.699999809265137,Runaway Gap,PHAT,1485400
917360.0,51.209999084472656,2026-04-24,True,52.27000045776367,Runaway Gap,PLAB,1227700
1429736.6666666667,89.75,2026-04-24,True,91.75,Runaway Gap,PNR,2558000
19357243.333333332,13.5600004196167,2026-04-24,True,15.100000381469727,Runaway Gap,POET,77618200
975570.0,74.98999786376953,2026-04-24,True,73.54000091552734,Runaway Gap,POWI,1274600
12550050.0,145.61000061035156,2026-04-24,True,148.85000610351562,Runaway Gap,QCOM,29412300
1130356.6666666667,85.8499984741211,2026-04-24,True,87.80000305175781,Runaway Gap,QRVO,1495500
278920.0,6.590000152587891,2026-04-24,True,7.989999771118164,Runaway Gap,RMAX,1396800
1985823.3333333333,149.6699981689453,2026-04-24,True,158.39999389648438,Runaway Gap,RMBS,4509200
1783883.3333333333,174.8000030517578,2026-04-24,True,175.3300018310547,Runaway Gap,RY,2919000
677290.0,184.0,2026-04-24,True,192.16000366210938,Runaway Gap,SANM,1247900
3462080.0,175.10000610351562,2026-04-24,True,175.25999450683594,Runaway Gap,SAP,6846400
1194130.0,86.73999786376953,2026-04-24,True,87.7300033569336,Runaway Gap,SCI,1765400
776830.0,6.5,2026-04-24,True,6.96999979019165,Runaway Gap,SHMD,1956100
607276.6666666666,83.37999725341797,2026-04-24,True,82.4800033569336,Runaway Gap,SIGI,838500
1491816.6666666667,8.600000381469727,2026-04-24,True,7.909999847412109,Runaway Gap,SKLZ,9313800
1663363.3333333333,37.75,2026-04-24,True,38.040000915527344,Runaway Gap,SKM,2481400
3817626.6666666665,23.040000915527344,2026-04-24,True,23.829999923706055,Runaway Gap,SLM,11689900
1796346.6666666667,469.3800048828125,2026-04-24,True,500.82000732421875,Runaway Gap,SNPS,2890700
3694740.0,12.609999656677246,2026-04-24,True,13.289999961853027,Runaway Gap,SRAD,8365800
10179530.0,51.59000015258789,2026-04-24,True,50.470001220703125,Runaway Gap,STM,13563800
3045776.6666666665,62.83000183105469,2026-04-24,True,63.650001525878906,Runaway Gap,SWKS,4085900
730403.3333333334,87.13999938964844,2026-04-24,True,93.86000061035156,Runaway Gap,SYNA,1815200
798983.3333333334,65.5999984741211,2026-04-24,True,67.31999969482422,Runaway Gap,TNL,1132000
13854436.666666666,396.1400146484375,2026-04-24,True,402.4599914550781,Runaway Gap,TSM,21574200
1767193.3333333333,136.72000122070312,2026-04-24,True,149.00999450683594,Runaway Gap,TTMI,2667300
6984513.333333333,287.8299865722656,2026-04-24,True,277.1400146484375,Runaway Gap,TXN,13939700
953080.0,81.6500015258789,2026-04-24,True,83.01000213623047,Runaway Gap,UCTT,1320100
573236.6666666666,997.989990234375,2026-04-24,True,974.4099731445312,Runaway Gap,URI,1043600
636453.3333333334,110.58999633789062,2026-04-24,True,113.69000244140625,Runaway Gap,VC,1508300
1190533.3333333333,78.77999877929688,2026-04-24,True,80.3499984741211,Runaway Gap,VOYA,1724100
1818813.3333333333,32.08000183105469,2026-04-24,True,33.22999954223633,Runaway Gap,VVV,3914700
824200.0,28.75,2026-04-24,True,26.110000610351562,Runaway Gap,WKC,3189600
500423.3333333333,15.229999542236328,2026-04-24,True,16.889999389648438,Runaway Gap,WLAC,1389100
2670686.6666666665,29.100000381469727,2026-04-24,True,31.229999542236328,Runaway Gap,WOLF,8397200
2295260.0,22.5,2026-04-24,True,22.65999984741211,Runaway Gap,WSC,3243100
2206650.0,40.27000045776367,2026-04-24,True,39.52000045776367,Runaway Gap,WTRG,6571100
1910950.0,16.71500015258789,2026-04-24,True,16.739999771118164,Runaway Gap,WTTR,5302500
